"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Тест проверки полного цикла покупок:
1. Авторизация
2. Выбор товаров
3. Оформление заказа
","3661","test_checkout_process","shop","Thu Aug 14 21:40:26 MSK 2025","passed","Thu Aug 14 21:40:30 MSK 2025","","test_shop_metods","",""
"Проверяет работу калькулятора с заданной задержкой","48206","Тестирование медленного калькулятора","calculator","Thu Aug 14 21:39:28 MSK 2025","passed","Thu Aug 14 21:40:16 MSK 2025","","test_calc_page_object","",""
